,Vmag,Plx,e_Plx,B-V,SpType,TargetClass
1815,10.78,8.4,2.28,0.6,445,1
1816,8.7,8.45,1.29,0.478,292,1
1817,9.85,2.67,1.59,0.513,398,1
1818,8.88,10.23,1.18,0.633,420,0
1819,8.67,1.66,1.23,0.945,507,0
1820,8.48,12.47,1.3,0.58,443,1
1821,8.99,5.62,1.15,0.379,292,1
1822,8.76,1.01,1.07,0.187,2,0
1823,9.02,5.98,1.06,0.555,416,0
1824,8.25,9.39,1.19,0.541,443,1
1825,6.57,18.64,0.69,0.38,317,1
1826,8.72,19.27,1.23,0.73,556,0
1827,7.89,4.63,1.1,1.032,609,0
1828,8.57,1.07,0.94,0.108,2,0
1829,9.69,17.1,1.37,0.88,654,0
1830,9.32,7.11,1.38,0.41,333,1
1831,7.42,15.9,0.97,0.51,398,1
1832,7.35,8.14,1.17,0.134,2,0
1833,10.71,-0.06,6.49,2.08,859,0
1834,8.73,5.7,1.07,0.424,39,1
1835,8.3,0.1,0.89,-0.111,241,1
1836,6.66,6.86,0.77,0.413,317,1
1837,9.15,5.29,1.23,0.402,354,0
1838,8.85,5.52,1.26,1.045,507,0
1839,9.06,11.76,1.09,0.586,479,0
1840,9.27,3.72,0.94,1.336,698,0
1841,11.33,21.6,2.22,1.39,780,0
1842,9.99,5.58,1.46,0.701,530,0
1843,7.59,9.46,0.78,0.407,333,1
1844,9.49,1.08,1.52,0.209,61,1
1845,7.83,4.04,1.06,1.001,561,0
1846,8.3,14.6,0.75,0.619,455,1
1847,8.09,6.46,1.02,0.312,55,1
1848,8.96,5.6,1.28,0.515,366,0
1849,7.52,11.01,0.83,0.485,366,0
1850,9.42,6.12,1.34,0.56,445,1
1851,10.35,-0.37,7.28,0.546,371,0
1852,5.58,2.38,0.69,-0.11,214,1
1853,10.36,0.79,1.68,1.106,685,0
1854,8.44,13.28,0.75,0.652,366,1
1855,7.78,8.52,1.17,0.649,445,1
1856,7.55,2.82,0.85,0.067,253,1
1857,8.61,2.68,0.87,0.25,253,1
1858,8.38,3.35,2.44,1.528,738,0
1859,8.12,6.35,1.02,0.136,30,1
1860,8.38,1.29,0.94,1.316,687,0
1861,8.36,1.96,1.02,0.149,2,0
1862,9.0,11.13,1.13,0.656,472,1
1863,9.18,5.3,0.97,0.581,443,1
1864,9.56,20.81,1.49,0.904,709,0
1865,8.12,4.8,0.97,0.93,671,0
1866,8.51,1.79,1.08,0.141,2,0
1867,7.92,55.53,1.08,0.94,709,0
1868,8.81,14.84,0.83,0.708,498,0
1869,9.77,-1.17,1.53,0.58,445,0
1870,6.08,6.03,0.79,1.216,668,0
1871,9.26,4.79,1.42,0.604,455,0
1872,7.55,1.48,0.99,1.515,770,0
1873,8.26,6.3,1.03,0.436,292,1
1874,8.33,3.39,1.23,1.011,609,0
1875,9.32,7.66,1.38,0.546,416,0
1876,9.26,0.56,1.34,1.81,283,1
1877,8.49,5.07,0.91,0.182,55,1
1878,10.4,3.82,1.7,0.72,445,1
1879,6.48,6.09,0.84,1.161,609,0
1880,8.13,4.86,0.88,0.453,366,0
1881,9.13,8.85,1.37,0.606,455,0
1882,9.31,5.34,1.33,1.01,609,0
1883,6.76,5.96,0.78,-0.058,253,1
1884,9.63,7.15,1.06,0.594,416,0
1885,7.27,36.16,0.8,0.681,587,0
1886,6.81,28.9,0.73,0.596,498,1
1887,7.87,4.57,0.96,1.195,609,0
1888,10.63,4.44,1.89,0.574,420,0
1889,8.33,5.08,1.06,0.448,352,0
1890,9.43,7.79,1.32,0.293,305,1
1891,5.38,4.27,0.54,0.008,262,1
1892,8.46,7.55,1.08,0.438,354,1
1893,6.9,2.96,0.99,1.426,719,0
1894,9.47,3.23,1.36,0.388,292,1
1895,8.08,5.31,0.94,0.43,354,1
1896,10.24,9.13,1.51,0.768,445,1
1897,10.04,1.58,1.87,1.062,507,0
1898,8.11,2.3,1.19,0.89,510,0
1899,8.82,6.44,1.24,0.374,310,1
1900,7.63,10.47,0.85,0.843,591,0
1901,10.39,2.66,1.65,0.571,445,1
1902,9.5,1.87,1.38,0.103,2,0
1903,8.14,8.12,0.82,0.433,354,1
1904,8.64,0.46,1.26,0.099,2,0
1905,10.5,2.14,1.73,0.408,317,1
1906,7.57,20.45,1.08,0.616,479,1
1907,8.68,12.98,1.1,0.564,455,0
1908,9.61,23.77,1.31,1.06,685,0
1909,8.27,7.33,0.98,0.153,2,0
1910,8.34,9.0,1.04,0.46,366,0
1911,8.34,3.15,1.17,1.367,609,0
1912,5.72,6.17,0.71,-0.056,266,1
1913,8.36,1.91,1.2,1.115,507,0
1914,8.49,4.6,1.27,0.958,443,1
1915,8.6,6.59,0.85,0.548,398,1
1916,8.79,9.83,1.18,0.611,465,0
1917,7.52,23.69,1.08,0.629,420,0
1918,8.34,3.29,0.89,1.597,685,0
1919,7.89,15.77,0.82,0.538,366,1
1920,8.48,0.45,1.2,1.457,685,0
1921,9.33,1.95,1.05,1.545,748,0
1922,9.77,8.41,1.6,0.73,492,0
1923,11.26,26.69,24.06,1.35,780,0
1924,8.83,2.57,1.16,1.044,561,0
1925,10.25,3.72,1.46,0.574,366,0
1926,7.37,0.61,0.84,1.573,738,0
1927,8.78,4.89,3.05,0.539,292,1
1928,8.95,1.56,1.42,1.095,609,0
1929,8.89,2.56,1.24,1.02,507,0
1930,9.82,10.87,1.44,0.74,507,0
1931,6.91,8.37,0.73,0.95,590,0
1932,8.81,11.27,1.96,0.637,447,1
1933,7.06,4.91,1.09,1.427,719,0
1934,10.42,1.86,2.08,0.509,344,1
1935,5.77,5.5,1.03,0.855,518,0
1936,8.7,2.59,1.06,0.015,39,1
1937,8.77,2.98,0.86,1.08,575,0
1938,7.73,5.21,1.01,1.158,609,0
1939,8.97,-0.62,1.2,0.004,197,1
1940,8.98,0.66,1.35,1.311,698,0
1941,8.85,10.52,1.12,0.52,416,0
1942,9.96,-0.75,0.92,0.358,238,1
1943,7.55,2.03,0.66,1.227,698,0
1944,8.89,8.17,1.2,0.647,500,0
1945,8.12,9.45,1.05,0.437,366,0
1946,8.22,4.65,0.98,1.016,636,0
1947,7.7,9.52,1.07,0.559,382,0
1948,8.24,5.11,1.41,0.328,292,1
1949,7.93,1.96,0.81,0.95,575,0
1950,7.58,5.31,0.82,1.037,633,0
1951,2.82,133.8,0.51,0.618,476,1
1952,9.2,0.91,1.44,1.654,780,0
1953,8.0,7.81,0.91,0.253,39,1
1954,6.78,0.11,0.71,1.676,685,0
1955,6.77,3.33,0.84,1.3,609,0
1956,9.46,7.59,1.45,0.5,382,1
1957,7.64,5.93,0.95,0.056,4,0
1958,8.37,13.82,2.56,0.402,315,1
1959,6.88,6.89,0.91,1.293,698,0
1960,8.62,5.15,2.85,0.348,294,1
1961,8.42,1.12,0.97,-0.047,238,1
1962,9.21,8.14,1.33,0.644,445,1
1963,6.91,1.07,0.56,-0.023,178,1
1964,7.45,2.6,0.7,0.261,253,1
1965,7.41,6.18,1.39,1.152,609,0
1966,9.25,17.45,1.56,0.838,609,0
1967,8.05,3.33,0.91,0.13,2,0
1968,9.94,2.2,1.74,1.451,443,0
1969,10.02,7.97,1.61,0.616,445,1
1970,9.35,3.19,1.39,0.36,310,1
1971,9.64,2.34,1.73,1.141,609,0
1972,7.52,4.12,1.01,0.99,575,0
1973,8.66,9.11,1.23,0.397,317,1
1974,8.51,5.61,1.18,0.119,2,0
1975,8.78,11.94,1.56,0.556,366,1
1976,8.9,10.19,1.29,0.675,530,1
1977,7.5,6.11,0.88,0.929,609,0
1978,9.48,-3.01,1.61,1.311,703,0
1979,9.02,5.46,1.45,0.555,366,0
1980,9.15,1.18,1.17,0.067,2,0
1981,9.47,5.75,1.23,0.491,382,1
1982,7.53,5.46,0.82,0.14,55,1
1983,7.64,1.46,0.97,1.533,775,0
1984,8.41,9.76,1.04,0.81,507,0
1985,6.67,3.45,0.78,-0.036,238,1
1986,8.43,5.2,1.56,1.0,685,0
1987,8.99,0.69,1.93,0.736,507,0
1988,8.97,0.77,1.06,1.241,698,0
1989,8.74,10.58,1.17,0.524,391,0
1990,7.12,1.39,0.76,1.201,609,0
1991,10.48,6.16,3.88,0.506,370,1
1992,8.25,16.2,1.02,0.583,420,0
1993,8.08,9.08,0.88,0.51,366,0
1994,9.68,9.53,1.39,0.502,398,1
1995,8.64,1.5,1.04,1.606,745,0
1996,9.25,7.58,1.17,0.3,60,1
1997,8.5,4.32,1.16,0.969,609,0
1998,6.71,4.45,0.91,0.879,518,0
1999,3.93,42.5,0.69,0.175,106,1
2000,8.4,3.5,0.98,0.105,2,0
2001,7.11,8.54,0.77,0.997,639,0
2002,9.37,2.26,1.24,0.417,39,1
2003,9.39,6.77,1.23,0.9,648,0
2004,7.57,5.83,1.0,1.28,687,0
2005,6.9,2.3,0.88,-0.128,238,1
2006,2.4,42.12,0.78,1.083,638,0
2007,8.32,5.26,1.03,1.089,685,0
2008,7.87,11.7,1.03,0.406,366,1
2009,8.53,0.82,0.95,1.775,738,0
2010,7.8,0.91,0.91,0.635,375,0
2011,6.24,4.3,0.91,1.622,784,0
2012,6.94,1.53,0.83,1.294,609,0
2013,7.6,3.08,1.0,0.976,646,0
2014,9.42,1.67,1.37,0.319,80,1
2015,9.6,-1.65,1.66,0.197,173,1
2016,10.41,5.92,1.53,0.391,420,0
2017,8.33,2.54,1.05,1.005,609,0
2018,9.07,3.48,0.97,0.131,2,0
2019,9.08,8.85,1.12,0.526,416,0
2020,8.27,3.84,1.11,1.087,633,0
2021,7.82,2.91,0.9,0.073,253,1
2022,8.66,6.22,1.7,0.571,422,0
2023,10.08,4.62,1.68,0.407,333,0
2024,8.58,11.7,1.19,0.463,354,1
2025,6.16,6.71,1.23,0.893,575,0
2026,6.58,3.84,0.75,0.021,272,1
2027,10.05,22.31,1.59,1.0,609,0
2028,8.04,2.99,1.08,1.494,685,0
2029,7.53,1.58,0.89,1.619,770,0
2030,8.7,1.05,1.06,1.397,685,0
2031,6.98,4.97,0.6,1.378,735,0
2032,8.75,14.9,1.07,0.576,473,1
2033,8.63,2.54,1.13,1.153,609,0
2034,8.98,0.14,1.34,-0.018,2,0
2035,10.68,2.34,2.02,0.38,445,1
2036,8.1,11.96,0.72,0.501,398,1
2037,8.89,1.51,1.04,1.001,633,0
2038,8.31,3.21,1.08,0.376,292,1
2039,9.11,7.33,1.09,0.461,382,1
2040,8.03,9.53,1.19,0.515,625,0
2041,8.02,2.37,1.16,1.331,507,0
2042,9.37,4.51,3.2,0.47,420,0
2043,7.96,8.76,1.15,0.391,292,1
2044,10.52,61.38,1.51,1.459,771,0
2045,8.6,11.44,1.19,0.446,366,1
2046,8.45,4.11,1.1,0.415,323,0
2047,8.31,2.39,1.19,1.604,738,0
2048,9.09,2.91,0.94,0.9,497,0
2049,8.93,4.76,1.15,0.31,137,1
2050,8.91,-0.39,0.92,1.576,733,0
2051,9.52,10.27,1.08,0.735,286,1
2052,9.66,17.16,1.47,0.703,507,0
2053,8.69,6.62,1.06,0.605,420,0
2054,10.22,4.3,1.52,0.05,30,1
2055,8.92,14.38,1.05,0.643,507,0
2056,8.49,0.97,1.12,1.427,745,0
2057,9.11,2.25,1.15,0.321,80,1
2058,9.33,6.77,1.38,0.48,344,1
2059,6.66,12.51,0.84,0.487,412,0
2060,9.5,18.1,1.47,0.931,682,0
2061,7.05,7.26,0.86,1.119,609,0
2062,10.13,5.41,1.9,0.599,445,1
2063,7.29,3.21,0.91,0.931,507,0
2064,9.37,10.41,1.37,0.587,407,1
2065,6.53,6.35,0.52,-0.083,253,1
2066,8.09,18.36,2.75,0.73,507,1
2067,7.35,2.03,0.84,1.689,785,0
2068,7.67,2.22,1.06,1.503,609,0
2069,7.57,3.09,0.82,1.302,745,0
2070,10.41,4.59,1.37,0.506,387,0
2071,8.04,5.76,1.59,-0.1,55,1
2072,8.49,4.76,1.24,1.132,677,0
2073,6.95,5.22,1.35,-0.014,253,1
2074,7.49,4.88,0.92,1.19,719,0
2075,9.62,4.53,1.69,1.415,685,0
2076,8.77,3.25,1.45,1.217,507,0
2077,8.66,3.7,1.41,1.052,617,0
2078,9.55,9.22,1.45,0.611,507,0
2079,8.68,9.94,1.28,0.528,398,1
2080,5.99,4.86,0.97,1.022,633,0
2081,10.14,5.49,1.72,0.52,382,1
2082,9.05,2.36,1.09,0.342,327,1
2083,9.08,1.28,1.27,1.453,811,0
2084,9.52,3.67,1.45,0.44,354,0
2085,8.26,3.25,0.94,1.11,609,0
2086,8.01,1.4,0.93,1.551,796,0
2087,10.05,-0.43,1.67,1.003,609,0
2088,7.18,4.53,0.98,0.894,503,0
2089,7.89,9.77,1.1,0.47,317,1
2090,9.33,2.59,1.08,1.068,672,0
2091,7.01,6.83,0.98,0.967,561,0
2092,8.21,1.61,1.24,1.059,671,0
2093,10.19,3.88,1.44,0.553,420,0
2094,9.39,3.58,1.5,1.077,685,0
2095,9.91,5.23,1.53,0.809,609,0
2096,7.56,16.48,1.14,0.585,420,0
2097,9.39,7.34,1.28,0.53,398,1
2098,9.02,2.36,1.09,0.947,633,0
2099,7.73,13.47,0.89,0.401,333,1
2100,6.44,7.7,0.71,0.23,80,1
2101,8.43,3.66,0.98,1.588,685,0
2102,7.67,0.08,1.09,2.1,846,0
2103,8.83,3.55,1.15,0.09,2,0
2104,8.28,2.63,0.75,0.912,549,0
2105,8.99,4.65,1.42,0.402,137,1
2106,6.78,8.63,0.84,0.261,137,1
2107,8.7,6.14,1.05,0.362,137,1
2108,8.51,9.83,0.83,0.504,429,0
2109,9.92,0.33,2.39,0.632,416,0
2110,8.93,2.91,1.03,1.156,658,0
2111,7.2,13.54,1.1,0.498,371,1
2112,7.47,2.03,0.77,0.043,204,0
2113,9.15,-0.58,1.22,0.136,2,0
2114,8.0,1.84,0.93,1.034,633,0
2115,9.02,21.72,1.37,0.745,556,0
2116,7.96,1.29,1.15,1.253,685,0
2117,9.73,7.56,1.55,0.501,390,0
2118,8.73,3.04,1.14,1.149,609,0
2119,9.29,7.12,1.56,0.255,2,0
2120,9.37,3.73,1.34,0.106,2,0
2121,8.11,4.83,1.03,0.166,39,1
2122,9.14,4.85,1.2,0.485,317,1
2123,8.64,-0.2,1.34,1.219,698,0
2124,7.78,10.86,0.91,0.453,366,0
2125,8.93,6.56,1.29,0.558,420,0
2126,8.46,5.35,1.91,0.258,39,1
2127,8.46,10.58,2.15,1.2,431,0
2128,8.6,2.68,1.17,1.291,685,0
2129,9.27,4.09,1.27,1.14,698,0
2130,4.86,5.95,0.72,1.634,796,0
2131,9.34,1.84,0.91,0.285,238,1
2132,9.35,-0.12,1.62,1.072,685,0
2133,6.4,6.12,0.79,0.99,609,0
2134,9.88,6.97,1.13,0.512,398,1
2135,7.35,8.87,1.48,1.205,826,0
2136,9.33,0.95,1.74,1.51,823,0
2137,9.12,3.97,1.13,0.535,416,0
2138,7.67,3.52,0.8,0.983,633,0
2139,5.01,6.65,0.78,1.584,812,0
2140,7.68,3.29,0.81,0.409,366,0
2141,9.72,0.04,1.38,0.005,2,0
2142,7.48,1.35,0.85,1.585,609,0
2143,8.89,1.26,0.91,0.115,0,0
2144,6.05,2.93,0.72,1.58,745,0
2145,8.27,8.17,1.95,0.795,526,0
2146,5.18,12.32,0.75,0.043,50,1
2147,6.75,7.5,0.92,1.127,665,0
2148,8.19,6.83,1.07,0.3,68,1
2149,8.55,2.57,1.15,1.069,507,0
2150,8.92,12.57,1.05,0.609,455,0
2151,7.81,10.51,1.04,0.601,420,0
2152,9.36,9.04,3.06,0.75,445,1
2153,10.05,6.88,1.78,0.75,514,0
2154,7.73,6.03,0.72,0.33,132,0
2155,6.05,27.52,0.86,0.447,401,1
2156,6.44,31.02,0.87,0.594,500,1
2157,8.03,3.71,1.13,1.077,633,0
2158,7.1,17.88,0.9,0.5,382,1
2159,5.42,7.86,0.68,1.556,775,0
2160,7.13,5.15,0.85,1.018,609,0
2161,9.52,8.15,1.48,0.552,445,1
2162,6.87,6.59,0.8,0.106,54,1
2163,8.68,1.55,1.14,1.147,609,0
2164,9.99,4.93,1.3,0.448,317,1
2165,6.86,15.86,0.89,0.535,366,1
2166,9.62,26.64,1.4,1.128,752,0
2167,8.34,4.4,1.2,0.96,507,0
2168,7.47,2.94,0.83,1.47,609,0
2169,8.53,2.62,1.15,0.945,507,0
2170,9.75,0.28,1.51,0.42,310,1
2171,8.12,6.23,2.29,0.228,80,1
2172,7.79,4.52,0.89,1.086,668,0
2173,9.98,7.77,1.45,0.64,468,0
2174,10.28,6.14,2.08,0.67,420,0
2175,6.26,8.58,0.67,1.09,633,0
2176,9.92,2.61,1.66,0.351,317,1
2177,8.63,2.64,1.04,0.009,2,0
2178,8.74,-1.11,0.99,0.188,152,0
2179,9.14,2.01,1.06,0.973,633,0
2180,10.14,3.22,2.78,0.42,333,0
2181,9.25,0.48,1.27,1.023,502,0
2182,7.14,3.74,1.1,0.318,137,1
2183,7.75,4.58,1.03,1.034,609,0
2184,9.42,0.31,1.35,1.406,738,0
2185,8.51,6.45,1.17,0.446,354,1
2186,7.3,0.87,0.88,0.894,577,0
2187,9.34,2.68,1.41,1.452,738,0
2188,8.56,3.42,1.06,1.008,586,0
2189,6.28,7.03,0.86,0.916,518,0
2190,7.04,1.5,0.95,1.617,771,0
2191,9.13,3.68,1.25,1.066,668,0
2192,9.25,15.85,1.35,0.864,668,0
2193,9.84,1.04,3.63,0.398,333,0
2194,8.97,8.81,1.18,0.523,366,0
2195,9.06,6.43,1.25,0.404,310,1
2196,9.44,2.97,1.35,1.355,738,0
2197,8.0,1.53,1.54,0.953,549,0
2198,8.95,2.68,1.16,1.036,668,0
2199,8.09,8.48,1.08,0.375,292,1
2200,8.86,3.72,1.24,1.122,685,0
2201,8.46,20.6,1.06,0.748,556,0
2202,7.35,2.58,0.97,1.616,745,0
2203,9.0,5.99,1.35,0.526,416,0
2204,9.01,2.18,1.35,1.575,771,0
2205,9.64,-2.13,3.75,1.5,703,0
2206,9.9,-6.82,5.82,0.577,465,0
2207,9.07,10.93,1.55,0.68,500,0
2208,8.02,4.4,0.86,0.97,503,0
2209,7.68,1.99,1.05,1.491,735,0
2210,8.93,3.49,1.21,0.377,310,1
2211,7.78,17.88,0.97,0.649,445,1
2212,11.37,17.58,1.75,1.153,766,0
2213,9.42,8.96,1.25,0.61,465,0
2214,10.22,4.13,1.72,0.591,398,1
2215,8.87,3.45,1.25,0.295,238,1
2216,8.72,5.64,1.2,0.267,44,1
2217,8.5,4.36,1.19,1.101,609,0
2218,10.48,2.07,1.2,0.557,317,1
2219,7.34,0.57,1.01,1.474,719,0
2220,8.6,1.62,1.23,0.883,507,0
2221,8.74,2.09,1.19,1.018,507,0
2222,6.82,2.82,0.74,1.273,561,0
2223,8.53,9.21,1.07,0.464,382,0
2224,7.95,17.2,0.89,0.691,507,0
2225,8.32,4.74,1.32,0.355,292,1
2226,8.32,3.24,1.14,0.942,609,0
2227,8.51,5.93,1.28,0.972,609,0
2228,9.51,4.89,2.32,0.634,507,0
2229,10.68,2.67,2.42,1.08,763,0
2230,9.34,22.77,1.5,0.84,507,1
2231,6.95,2.93,0.99,1.307,738,0
2232,8.95,6.39,1.23,0.504,445,1
2233,7.78,9.53,0.96,0.556,420,0
2234,7.29,3.96,0.87,1.183,609,0
2235,9.77,8.6,1.55,0.793,507,0
2236,8.82,15.28,1.18,0.602,465,0
2237,7.62,13.2,0.93,0.465,382,1
2238,7.0,7.1,0.68,1.06,698,0
2239,8.86,3.0,1.12,1.111,633,0
2240,8.88,2.8,1.44,0.6,420,0
2241,6.89,5.2,0.95,1.457,685,0
2242,7.68,4.09,0.88,1.05,507,0
2243,9.66,0.23,1.51,0.049,253,1
2244,7.9,14.45,1.11,0.494,366,1
2245,10.11,20.25,4.43,0.57,317,1
2246,9.28,1.17,2.66,0.101,238,1
2247,7.54,1.37,0.89,0.002,253,1
2248,6.59,5.05,0.81,1.351,687,0
2249,11.01,1.45,2.61,0.504,608,0
2250,7.88,5.85,1.08,1.123,609,0
2251,7.83,6.1,0.99,1.024,550,0
2252,8.9,6.94,1.26,0.393,55,1
2253,9.1,6.03,1.2,0.638,500,0
2254,7.47,11.67,0.96,0.544,420,0
2255,6.15,23.62,0.87,0.388,324,1
2256,9.19,8.06,1.33,0.626,465,0
2257,8.24,8.8,0.89,0.883,609,0
2258,7.93,2.74,1.11,1.232,685,0
2259,8.95,8.45,1.23,0.648,507,0
2260,8.15,5.98,1.03,1.03,668,0
2261,7.46,14.05,0.9,0.353,292,1
2262,9.29,6.99,1.48,0.483,354,1
2263,9.09,3.37,0.89,1.104,668,0
2264,9.37,2.82,2.33,0.5,424,0
2265,8.86,2.32,1.09,1.096,464,0
2266,9.24,4.21,1.38,0.938,648,0
2267,8.14,2.71,0.9,0.972,575,0
2268,9.44,18.62,1.35,0.886,507,1
2269,9.11,3.53,1.42,0.489,354,0
2270,8.41,13.12,0.85,0.618,609,0
2271,5.72,3.82,0.92,1.545,775,0
2272,8.85,0.64,1.02,0.885,359,0
2273,5.2,17.62,0.86,0.271,104,1
2274,9.55,1.63,1.69,0.534,507,0
2275,9.09,3.04,1.38,0.258,39,1
2276,6.52,14.87,0.9,0.453,366,1
2277,9.56,4.21,1.54,0.986,677,0
2278,8.95,6.79,1.27,0.779,507,0
2279,10.21,4.21,1.64,0.628,492,0
2280,9.54,0.33,1.8,1.194,668,0
2281,8.94,6.56,1.21,1.016,668,0
2282,10.1,25.05,1.9,1.08,763,0
2283,9.1,4.78,1.09,1.104,685,0
2284,8.85,1.72,1.16,0.37,292,1
2285,9.08,1.84,1.28,0.1,2,0
2286,8.51,11.77,1.2,0.613,500,0
2287,9.02,6.48,1.24,0.403,292,1
2288,12.22,2.22,3.71,0.41,101,0
2289,7.27,5.29,0.7,0.007,2,0
2290,9.2,1.32,1.19,1.652,784,0
2291,10.68,20.16,1.85,1.066,685,0
2292,7.4,3.83,0.77,1.282,609,0
2293,10.3,7.11,1.75,0.57,420,0
2294,8.94,6.02,1.21,0.756,530,0
2295,5.94,4.54,0.76,-0.003,263,1
2296,8.23,1.68,0.91,0.461,292,1
2297,9.31,2.98,1.37,1.045,668,0
2298,9.75,2.37,1.48,0.808,556,0
2299,5.17,18.08,0.9,0.128,65,1
2300,10.9,0.82,1.83,0.469,221,1
2301,5.67,22.19,0.67,0.367,333,1
2302,9.41,5.09,1.41,1.747,771,0
2303,9.19,3.26,0.94,0.204,2,0
2304,8.15,12.28,1.07,0.488,382,1
2305,6.18,7.77,0.72,0.315,327,1
2306,7.97,3.15,1.07,1.086,633,0
2307,8.32,0.19,0.95,0.495,150,0
2308,12.25,11.25,4.75,1.41,813,0
2309,6.6,7.19,0.74,1.141,668,0
2310,7.63,7.85,0.9,0.458,366,0
2311,9.29,4.75,1.29,0.466,292,1
2312,8.56,6.77,1.1,0.198,2,0
2313,9.39,0.37,1.42,1.289,738,0
2314,9.22,29.34,1.18,0.93,738,0
2315,8.44,3.06,1.15,1.19,685,0
2316,8.86,2.26,1.35,1.141,668,0
2317,9.17,3.54,1.25,0.2,80,1
2318,8.77,4.8,1.03,0.061,2,0
2319,8.27,2.45,1.0,1.085,609,0
2320,7.55,9.86,1.0,0.506,382,0
2321,9.07,2.49,1.36,0.988,633,0
2322,8.7,2.07,1.24,1.055,575,0
2323,7.54,6.94,0.79,0.203,74,1
2324,7.52,9.15,0.95,0.464,317,1
2325,7.43,2.93,1.03,1.567,770,0
2326,7.39,2.05,0.68,-0.013,193,1
2327,12.07,8.45,3.97,1.343,758,0
2328,9.6,5.87,2.15,0.681,507,0
2329,10.69,14.69,1.82,0.9,609,0
2330,7.72,2.11,0.91,0.747,525,0
2331,7.74,20.9,1.05,0.652,445,1
2332,6.83,8.46,0.74,0.126,2,0
2333,9.07,17.5,1.23,0.734,514,0
2334,9.09,14.06,1.33,0.617,473,1
2335,9.95,2.24,1.29,0.349,238,1
2336,8.15,7.21,0.71,0.194,2,0
2337,7.64,7.14,0.94,0.182,2,0
2338,8.19,3.64,1.03,0.97,668,0
2339,6.18,25.38,0.54,0.883,646,0
2340,8.12,4.88,0.89,0.477,420,0
2341,10.01,-1.2,4.22,0.489,317,1
2342,9.57,3.7,1.35,0.535,317,1
2343,8.79,-1.25,1.4,1.282,698,0
2344,8.4,1.28,1.15,1.187,698,0
2345,8.07,8.1,2.16,0.455,366,0
2346,8.41,1.88,0.96,1.486,719,0
2347,6.86,7.01,0.91,0.2,55,1
2348,8.33,1.53,1.02,1.32,685,0
2349,9.58,8.28,1.33,0.547,424,0
2350,8.51,10.69,1.08,0.553,416,0
2351,8.52,0.77,1.09,1.585,784,0
2352,8.71,3.68,1.2,1.141,698,0
2353,7.37,4.2,1.24,0.873,609,0
2354,10.26,3.44,2.5,0.449,445,1
2355,9.43,-0.07,1.31,0.569,366,0
2356,6.57,7.97,0.73,1.154,507,0
2357,7.62,4.28,1.0,1.359,685,0
2358,7.71,4.35,0.87,0.14,2,0
2359,10.63,2.26,2.2,0.52,445,1
2360,8.46,11.69,1.57,0.636,445,1
2361,8.92,9.19,0.86,0.593,431,0
2362,7.73,4.76,0.86,1.138,668,0
2363,8.01,1.32,1.09,1.023,586,0
2364,9.54,7.24,1.35,0.36,333,1
2365,9.79,3.91,2.45,0.711,429,0
2366,8.83,1.1,1.06,0.04,2,0
2367,8.41,5.86,1.14,0.398,310,1
2368,9.27,16.2,1.36,0.804,651,0
2369,7.37,23.95,0.66,0.504,420,0
2370,6.76,2.44,0.81,-0.064,238,1
2371,10.99,-1.2,2.15,0.05,257,1
2372,9.42,0.27,1.28,0.017,197,1
2373,12.38,16.7,5.59,1.339,778,0
2374,8.73,1.07,1.17,0.176,209,1
2375,10.38,5.88,1.56,0.751,407,0
2376,8.99,1.22,1.14,1.704,799,0
2377,8.48,-0.06,1.06,0.713,441,0
2378,9.34,-0.33,0.94,0.268,238,1
2379,7.53,4.86,0.88,0.143,65,1
2380,8.1,9.19,1.13,0.354,292,1
2381,8.11,3.63,0.96,1.109,668,0
2382,8.49,5.62,1.16,0.18,55,1
2383,7.83,6.13,0.98,0.918,575,0
2384,9.75,3.56,1.61,0.539,420,0
2385,4.76,18.97,0.64,0.018,15,1
2386,7.32,3.55,0.92,0.11,55,1
2387,6.18,4.55,0.58,-0.1,226,1
2388,5.88,6.98,0.79,1.133,671,0
2389,8.44,5.06,1.09,0.102,2,0
2390,10.07,4.33,2.06,1.63,738,0
2391,8.08,-1.59,1.15,1.127,518,0
2392,7.18,13.44,0.83,0.275,80,1
2393,7.17,5.08,0.79,1.352,735,0
2394,7.48,3.21,0.83,1.606,738,0
2395,8.1,15.9,1.03,0.528,420,0
2396,8.15,15.36,1.58,0.653,447,1
2397,4.36,23.34,0.52,-0.064,272,1
2398,4.53,18.95,4.35,0.147,47,1
2399,8.81,5.07,1.18,0.587,366,0
2400,9.7,1.43,1.65,0.552,354,0
2401,9.38,7.95,1.06,0.456,143,0
2402,7.88,3.2,0.83,0.037,9,1
2403,6.89,4.12,0.76,1.267,609,0
2404,6.99,3.96,0.91,1.405,685,0
2405,10.99,10.63,2.39,0.682,685,0
2406,8.7,2.01,1.88,0.116,2,0
2407,8.88,-0.1,1.11,0.14,2,0
2408,9.0,11.3,1.26,0.569,420,0
2409,7.07,9.86,0.86,0.071,2,0
2410,5.59,8.29,0.68,1.163,698,0
2411,7.25,12.27,0.88,0.906,609,0
2412,12.41,-0.72,3.07,-0.279,145,0
2413,8.28,7.6,1.03,0.281,55,1
2414,9.67,2.59,1.27,0.418,80,1
2415,7.44,5.23,1.08,0.955,507,0
2416,7.58,-0.17,0.86,-0.034,238,1
2417,9.64,13.68,1.38,0.817,651,0
2418,4.74,9.2,1.06,-0.098,252,1
2419,9.37,6.86,1.35,0.521,398,1
