,Vmag,Plx,e_Plx,B-V,SpType
1943,7.55,2.03,0.66,1.227,698
1944,8.89,8.17,1.2,0.647,500
1945,8.12,9.45,1.05,0.437,366
1946,8.22,4.65,0.98,1.016,636
1947,7.7,9.52,1.07,0.559,382
1948,8.24,5.11,1.41,0.328,292
1949,7.93,1.96,0.81,0.95,575
1950,7.58,5.31,0.82,1.037,633
1951,2.82,133.78,0.51,0.618,476
1952,9.2,0.91,1.44,1.654,780
1953,8.0,7.81,0.91,0.253,39
1954,6.78,0.11,0.71,1.676,685
1955,6.77,3.33,0.84,1.3,609
1956,9.46,7.59,1.45,0.5,382
1957,7.64,5.93,0.95,0.056,4
1958,8.37,13.82,2.56,0.402,315
1959,6.88,6.89,0.91,1.293,698
1960,8.62,5.15,2.85,0.348,294
1961,8.42,1.12,0.97,-0.047,238
1962,9.21,8.14,1.33,0.644,445
1963,6.91,1.07,0.56,-0.023,178
1964,7.45,2.6,0.7,0.261,253
1965,7.41,6.18,1.39,1.152,609
1966,9.25,17.45,1.56,0.838,609
1967,8.05,3.33,0.91,0.13,2
1968,9.94,2.2,1.74,1.451,443
1969,10.02,7.97,1.61,0.616,445
1970,9.35,3.19,1.39,0.36,310
1971,9.64,2.34,1.73,1.141,609
1972,7.52,4.12,1.01,0.99,575
1973,8.66,9.11,1.23,0.397,317
1974,8.51,5.61,1.18,0.119,2
1975,8.78,11.94,1.56,0.556,366
1976,8.9,10.19,1.29,0.675,530
1977,7.5,6.11,0.88,0.929,609
1978,9.48,-3.01,1.61,1.311,703
1979,9.02,5.46,1.45,0.555,366
1980,9.15,1.18,1.17,0.067,2
1981,9.47,5.75,1.23,0.491,382
1982,7.53,5.46,0.82,0.14,55
1983,7.64,1.46,0.97,1.533,775
1984,8.41,9.76,1.04,0.81,507
1985,6.67,3.45,0.78,-0.036,238
1986,8.43,5.2,1.56,1.0,685
1987,8.99,0.69,1.93,0.736,507
1988,8.97,0.77,1.06,1.241,698
1989,8.74,10.58,1.17,0.524,391
1990,7.12,1.39,0.76,1.201,609
1991,10.48,6.16,3.88,0.506,370
1992,8.25,16.21,1.02,0.583,420
1993,8.08,9.08,0.88,0.51,366
1994,9.68,9.53,1.39,0.502,398
1995,8.64,1.5,1.04,1.606,745
1996,9.25,7.58,1.17,0.3,60
1997,8.5,4.32,1.16,0.969,609
1998,6.71,4.45,0.91,0.879,518
1999,3.93,42.51,0.69,0.175,106
2000,8.4,3.5,0.98,0.105,2
2001,7.11,8.54,0.77,0.997,639
2002,9.37,2.26,1.24,0.417,39
2003,9.39,6.77,1.23,0.9,648
2004,7.57,5.83,1.0,1.28,687
2005,6.9,2.3,0.88,-0.128,238
2006,2.4,42.14,0.78,1.083,638
2007,8.32,5.26,1.03,1.089,685
2008,7.87,11.7,1.03,0.406,366
2009,8.53,0.82,0.95,1.775,738
2010,7.8,0.91,0.91,0.635,375
2011,6.24,4.3,0.91,1.622,784
2012,6.94,1.53,0.83,1.294,609
2013,7.6,3.08,1.0,0.976,646
2014,9.42,1.67,1.37,0.319,80
2015,9.6,-1.65,1.66,0.197,173
2016,10.41,5.92,1.53,0.391,420
2017,8.33,2.54,1.05,1.005,609
2018,9.07,3.48,0.97,0.131,2
2019,9.08,8.85,1.12,0.526,416
2020,8.27,3.84,1.11,1.087,633
2021,7.82,2.91,0.9,0.073,253
2022,8.66,6.22,1.7,0.571,422
2023,10.08,4.62,1.68,0.407,333
2024,8.58,11.7,1.19,0.463,354
2025,6.16,6.71,1.23,0.893,575
2026,6.58,3.84,0.75,0.021,272
2027,10.05,22.32,1.59,1.0,609
2028,8.04,2.99,1.08,1.494,685
2029,7.53,1.58,0.89,1.619,770
2030,8.7,1.05,1.06,1.397,685
2031,6.98,4.97,0.6,1.378,735
2032,8.75,14.9,1.07,0.576,473
2033,8.63,2.54,1.13,1.153,609
2034,8.98,0.14,1.34,-0.018,2
2035,10.68,2.34,2.02,0.38,445
2036,8.1,11.96,0.72,0.501,398
2037,8.89,1.51,1.04,1.001,633
2038,8.31,3.21,1.08,0.376,292
2039,9.11,7.33,1.09,0.461,382
2040,8.03,9.53,1.19,0.515,625
2041,8.02,2.37,1.16,1.331,507
2042,9.37,4.51,3.2,0.47,420
2043,7.96,8.76,1.15,0.391,292
2044,10.52,61.39,1.51,1.459,771
2045,8.6,11.44,1.19,0.446,366
2046,8.45,4.11,1.1,0.415,323
2047,8.31,2.39,1.19,1.604,738
2048,9.09,2.91,0.94,0.9,497
2049,8.93,4.76,1.15,0.31,137
2050,8.91,-0.39,0.92,1.576,733
2051,9.52,10.27,1.08,0.735,286
2052,9.66,17.16,1.47,0.703,507
2053,8.69,6.62,1.06,0.605,420
2054,10.22,4.3,1.52,0.05,30
2055,8.92,14.38,1.05,0.643,507
2056,8.49,0.97,1.12,1.427,745
2057,9.11,2.25,1.15,0.321,80
2058,9.33,6.77,1.38,0.48,344
2059,6.66,12.51,0.84,0.487,412
2060,9.5,18.1,1.47,0.931,682
2061,7.05,7.26,0.86,1.119,609
2062,10.13,5.41,1.9,0.599,445
2063,7.29,3.21,0.91,0.931,507
2064,9.37,10.41,1.37,0.587,407
2065,6.53,6.35,0.52,-0.083,253
2066,8.09,18.36,2.75,0.73,507
2067,7.35,2.03,0.84,1.689,785
2068,7.67,2.22,1.06,1.503,609
2069,7.57,3.09,0.82,1.302,745
2070,10.41,4.59,1.37,0.506,387
2071,8.04,5.76,1.59,-0.1,55
2072,8.49,4.76,1.24,1.132,677
2073,6.95,5.22,1.35,-0.014,253
2074,7.49,4.88,0.92,1.19,719
2075,9.62,4.53,1.69,1.415,685
2076,8.77,3.25,1.45,1.217,507
2077,8.66,3.7,1.41,1.052,617
2078,9.55,9.22,1.45,0.611,507
2079,8.68,9.94,1.28,0.528,398
2080,5.99,4.86,0.97,1.022,633
2081,10.14,5.49,1.72,0.52,382
2082,9.05,2.36,1.09,0.342,327
2083,9.08,1.28,1.27,1.453,811
2084,9.52,3.67,1.45,0.44,354
2085,8.26,3.25,0.94,1.11,609
2086,8.01,1.4,0.93,1.551,796
2087,10.05,-0.43,1.67,1.003,609
2088,7.18,4.53,0.98,0.894,503
2089,7.89,9.77,1.1,0.47,317
2090,9.33,2.59,1.08,1.068,672
2091,7.01,6.83,0.98,0.967,561
2092,8.21,1.61,1.24,1.059,671
2093,10.19,3.88,1.44,0.553,420
2094,9.39,3.58,1.5,1.077,685
2095,9.91,5.23,1.53,0.809,609
2096,7.56,16.49,1.14,0.585,420
2097,9.39,7.34,1.28,0.53,398
2098,9.02,2.36,1.09,0.947,633
2099,7.73,13.47,0.89,0.401,333
2100,6.44,7.7,0.71,0.23,80
2101,8.43,3.66,0.98,1.588,685
2102,7.67,0.08,1.09,2.1,846
2103,8.83,3.55,1.15,0.09,2
2104,8.28,2.63,0.75,0.912,549
2105,8.99,4.65,1.42,0.402,137
2106,6.78,8.63,0.84,0.261,137
2107,8.7,6.14,1.05,0.362,137
2108,8.51,9.83,0.83,0.504,429
2109,9.92,0.33,2.39,0.632,416
2110,8.93,2.91,1.03,1.156,658
2111,7.2,13.54,1.1,0.498,371
2112,7.47,2.03,0.77,0.043,204
2113,9.15,-0.58,1.22,0.136,2
2114,8.0,1.84,0.93,1.034,633
2115,9.02,21.72,1.37,0.745,556
2116,7.96,1.29,1.15,1.253,685
2117,9.73,7.56,1.55,0.501,390
2118,8.73,3.04,1.14,1.149,609
2119,9.29,7.12,1.56,0.255,2
2120,9.37,3.73,1.34,0.106,2
2121,8.11,4.83,1.03,0.166,39
2122,9.14,4.85,1.2,0.485,317
2123,8.64,-0.2,1.34,1.219,698
2124,7.78,10.86,0.91,0.453,366
2125,8.93,6.56,1.29,0.558,420
2126,8.46,5.35,1.91,0.258,39
2127,8.46,10.58,2.15,1.2,431
2128,8.6,2.68,1.17,1.291,685
2129,9.27,4.09,1.27,1.14,698
2130,4.86,5.95,0.72,1.634,796
2131,9.34,1.84,0.91,0.285,238
2132,9.35,-0.12,1.62,1.072,685
2133,6.4,6.12,0.79,0.99,609
2134,9.88,6.97,1.13,0.512,398
2135,7.35,8.87,1.48,1.205,826
2136,9.33,0.95,1.74,1.51,823
2137,9.12,3.97,1.13,0.535,416
2138,7.67,3.52,0.8,0.983,633
2139,5.01,6.65,0.78,1.584,812
2140,7.68,3.29,0.81,0.409,366
2141,9.72,0.04,1.38,0.005,2
2142,7.48,1.35,0.85,1.585,609
2143,8.89,1.26,0.91,0.115,0
2144,6.05,2.93,0.72,1.58,745
2145,8.27,8.17,1.95,0.795,526
2146,5.18,12.32,0.75,0.043,50
2147,6.75,7.5,0.92,1.127,665
2148,8.19,6.83,1.07,0.3,68
2149,8.55,2.57,1.15,1.069,507
2150,8.92,12.57,1.05,0.609,455
2151,7.81,10.51,1.04,0.601,420
2152,9.36,9.04,3.06,0.75,445
2153,10.05,6.88,1.78,0.75,514
2154,7.73,6.03,0.72,0.33,132
2155,6.05,27.51,0.86,0.447,401
2156,6.44,31.01,0.87,0.594,500
2157,8.03,3.71,1.13,1.077,633
2158,7.1,17.88,0.9,0.5,382
2159,5.42,7.86,0.68,1.556,775
2160,7.13,5.15,0.85,1.018,609
2161,9.52,8.15,1.48,0.552,445
2162,6.87,6.59,0.8,0.106,54
2163,8.68,1.55,1.14,1.147,609
2164,9.99,4.93,1.3,0.448,317
2165,6.86,15.86,0.89,0.535,366
2166,9.62,26.64,1.4,1.128,752
2167,8.34,4.4,1.2,0.96,507
2168,7.47,2.94,0.83,1.47,609
2169,8.53,2.62,1.15,0.945,507
2170,9.75,0.28,1.51,0.42,310
2171,8.12,6.23,2.29,0.228,80
2172,7.79,4.52,0.89,1.086,668
2173,9.98,7.77,1.45,0.64,468
2174,10.28,6.14,2.08,0.67,420
2175,6.26,8.58,0.67,1.09,633
2176,9.92,2.61,1.66,0.351,317
2177,8.63,2.64,1.04,0.009,2
2178,8.74,-1.11,0.99,0.188,152
2179,9.14,2.01,1.06,0.973,633
2180,10.14,3.22,2.78,0.42,333
2181,9.25,0.48,1.27,1.023,502
2182,7.14,3.74,1.1,0.318,137
2183,7.75,4.58,1.03,1.034,609
2184,9.42,0.31,1.35,1.406,738
2185,8.51,6.45,1.17,0.446,354
2186,7.3,0.87,0.88,0.894,577
2187,9.34,2.68,1.41,1.452,738
2188,8.56,3.42,1.06,1.008,586
2189,6.28,7.03,0.86,0.916,518
2190,7.04,1.5,0.95,1.617,771
2191,9.13,3.68,1.25,1.066,668
2192,9.25,15.85,1.35,0.864,668
2193,9.84,1.04,3.63,0.398,333
2194,8.97,8.81,1.18,0.523,366
2195,9.06,6.43,1.25,0.404,310
2196,9.44,2.97,1.35,1.355,738
2197,8.0,1.53,1.54,0.953,549
2198,8.95,2.68,1.16,1.036,668
2199,8.09,8.48,1.08,0.375,292
2200,8.86,3.72,1.24,1.122,685
2201,8.46,20.6,1.06,0.748,556
2202,7.35,2.58,0.97,1.616,745
2203,9.0,5.99,1.35,0.526,416
2204,9.01,2.18,1.35,1.575,771
2205,9.64,-2.13,3.75,1.5,703
2206,9.9,-6.82,5.82,0.577,465
2207,9.07,10.93,1.55,0.68,500
2208,8.02,4.4,0.86,0.97,503
2209,7.68,1.99,1.05,1.491,735
2210,8.93,3.49,1.21,0.377,310
2211,7.78,17.88,0.97,0.649,445
2212,11.37,17.58,1.75,1.153,766
2213,9.42,8.96,1.25,0.61,465
2214,10.22,4.13,1.72,0.591,398
2215,8.87,3.45,1.25,0.295,238
2216,8.72,5.64,1.2,0.267,44
2217,8.5,4.36,1.19,1.101,609
2218,10.48,2.07,1.2,0.557,317
2219,7.34,0.57,1.01,1.474,719
2220,8.6,1.62,1.23,0.883,507
2221,8.74,2.09,1.19,1.018,507
2222,6.82,2.82,0.74,1.273,561
2223,8.53,9.21,1.07,0.464,382
2224,7.95,17.2,0.89,0.691,507
2225,8.32,4.74,1.32,0.355,292
2226,8.32,3.24,1.14,0.942,609
2227,8.51,5.93,1.28,0.972,609
2228,9.51,4.89,2.32,0.634,507
2229,10.68,2.67,2.42,1.08,763
2230,9.34,22.77,1.5,0.84,507
2231,6.95,2.93,0.99,1.307,738
2232,8.95,6.39,1.23,0.504,445
2233,7.78,9.53,0.96,0.556,420
2234,7.29,3.96,0.87,1.183,609
2235,9.77,8.6,1.55,0.793,507
2236,8.82,15.28,1.18,0.602,465
2237,7.62,13.2,0.93,0.465,382
2238,7.0,7.1,0.68,1.06,698
2239,8.86,3.0,1.12,1.111,633
2240,8.88,2.8,1.44,0.6,420
2241,6.89,5.2,0.95,1.457,685
2242,7.68,4.09,0.88,1.05,507
2243,9.66,0.23,1.51,0.049,253
2244,7.9,14.45,1.11,0.494,366
2245,10.11,20.25,4.43,0.57,317
2246,9.28,1.17,2.66,0.101,238
2247,7.54,1.37,0.89,0.002,253
2248,6.59,5.05,0.81,1.351,687
2249,11.01,1.45,2.61,0.504,608
2250,7.88,5.85,1.08,1.123,609
2251,7.83,6.1,0.99,1.024,550
2252,8.9,6.94,1.26,0.393,55
2253,9.1,6.03,1.2,0.638,500
2254,7.47,11.67,0.96,0.544,420
2255,6.15,23.62,0.87,0.388,324
2256,9.19,8.06,1.33,0.626,465
2257,8.24,8.8,0.89,0.883,609
2258,7.93,2.74,1.11,1.232,685
2259,8.95,8.45,1.23,0.648,507
2260,8.15,5.98,1.03,1.03,668
2261,7.46,14.05,0.9,0.353,292
2262,9.29,6.99,1.48,0.483,354
2263,9.09,3.37,0.89,1.104,668
2264,9.37,2.82,2.33,0.5,424
2265,8.86,2.32,1.09,1.096,464
2266,9.24,4.21,1.38,0.938,648
2267,8.14,2.71,0.9,0.972,575
2268,9.44,18.62,1.35,0.886,507
2269,9.11,3.53,1.42,0.489,354
2270,8.41,13.12,0.85,0.618,609
2271,5.72,3.82,0.92,1.545,775
2272,8.85,0.64,1.02,0.885,359
2273,5.2,17.62,0.86,0.271,104
2274,9.55,1.63,1.69,0.534,507
2275,9.09,3.04,1.38,0.258,39
2276,6.52,14.87,0.9,0.453,366
2277,9.56,4.21,1.54,0.986,677
2278,8.95,6.79,1.27,0.779,507
2279,10.21,4.21,1.64,0.628,492
2280,9.54,0.33,1.8,1.194,668
2281,8.94,6.56,1.21,1.016,668
2282,10.1,25.04,1.9,1.08,763
2283,9.1,4.78,1.09,1.104,685
2284,8.85,1.72,1.16,0.37,292
2285,9.08,1.84,1.28,0.1,2
2286,8.51,11.77,1.2,0.613,500
2287,9.02,6.48,1.24,0.403,292
2288,12.22,2.22,3.71,0.41,101
2289,7.27,5.29,0.7,0.007,2
2290,9.2,1.32,1.19,1.652,784
2291,10.68,20.15,1.85,1.066,685
2292,7.4,3.83,0.77,1.282,609
2293,10.3,7.11,1.75,0.57,420
2294,8.94,6.02,1.21,0.756,530
2295,5.94,4.54,0.76,-0.003,263
2296,8.23,1.68,0.91,0.461,292
2297,9.31,2.98,1.37,1.045,668
2298,9.75,2.37,1.48,0.808,556
2299,5.17,18.08,0.9,0.128,65
2300,10.9,0.82,1.83,0.469,221
2301,5.67,22.19,0.67,0.367,333
2302,9.41,5.09,1.41,1.747,771
2303,9.19,3.26,0.94,0.204,2
2304,8.15,12.28,1.07,0.488,382
2305,6.18,7.77,0.72,0.315,327
2306,7.97,3.15,1.07,1.086,633
2307,8.32,0.19,0.95,0.495,150
2308,12.25,11.25,4.75,1.41,813
2309,6.6,7.19,0.74,1.141,668
2310,7.63,7.85,0.9,0.458,366
2311,9.29,4.75,1.29,0.466,292
2312,8.56,6.77,1.1,0.198,2
2313,9.39,0.37,1.42,1.289,738
2314,9.22,29.34,1.18,0.93,738
2315,8.44,3.06,1.15,1.19,685
2316,8.86,2.26,1.35,1.141,668
2317,9.17,3.54,1.25,0.2,80
2318,8.77,4.8,1.03,0.061,2
2319,8.27,2.45,1.0,1.085,609
2320,7.55,9.86,1.0,0.506,382
2321,9.07,2.49,1.36,0.988,633
2322,8.7,2.07,1.24,1.055,575
2323,7.54,6.94,0.79,0.203,74
2324,7.52,9.15,0.95,0.464,317
2325,7.43,2.93,1.03,1.567,770
2326,7.39,2.05,0.68,-0.013,193
2327,12.07,8.45,3.97,1.343,758
2328,9.6,5.87,2.15,0.681,507
2329,10.69,14.69,1.82,0.9,609
2330,7.72,2.11,0.91,0.747,525
2331,7.74,20.91,1.05,0.652,445
2332,6.83,8.46,0.74,0.126,2
2333,9.07,17.5,1.23,0.734,514
2334,9.09,14.06,1.33,0.617,473
2335,9.95,2.24,1.29,0.349,238
2336,8.15,7.21,0.71,0.194,2
2337,7.64,7.14,0.94,0.182,2
2338,8.19,3.64,1.03,0.97,668
2339,6.18,25.37,0.54,0.883,646
2340,8.12,4.88,0.89,0.477,420
2341,10.01,-1.2,4.22,0.489,317
2342,9.57,3.7,1.35,0.535,317
2343,8.79,-1.25,1.4,1.282,698
2344,8.4,1.28,1.15,1.187,698
2345,8.07,8.1,2.16,0.455,366
2346,8.41,1.88,0.96,1.486,719
2347,6.86,7.01,0.91,0.2,55
2348,8.33,1.53,1.02,1.32,685
2349,9.58,8.28,1.33,0.547,424
2350,8.51,10.69,1.08,0.553,416
2351,8.52,0.77,1.09,1.585,784
2352,8.71,3.68,1.2,1.141,698
2353,7.37,4.2,1.24,0.873,609
2354,10.26,3.44,2.5,0.449,445
2355,9.43,-0.07,1.31,0.569,366
2356,6.57,7.97,0.73,1.154,507
2357,7.62,4.28,1.0,1.359,685
2358,7.71,4.35,0.87,0.14,2
2359,10.63,2.26,2.2,0.52,445
2360,8.46,11.69,1.57,0.636,445
2361,8.92,9.19,0.86,0.593,431
2362,7.73,4.76,0.86,1.138,668
2363,8.01,1.32,1.09,1.023,586
2364,9.54,7.24,1.35,0.36,333
2365,9.79,3.91,2.45,0.711,429
2366,8.83,1.1,1.06,0.04,2
2367,8.41,5.86,1.14,0.398,310
2368,9.27,16.21,1.36,0.804,651
2369,7.37,23.95,0.66,0.504,420
2370,6.76,2.44,0.81,-0.064,238
2371,10.99,-1.2,2.15,0.05,257
2372,9.42,0.27,1.28,0.017,197
2373,12.38,16.71,5.59,1.339,778
2374,8.73,1.07,1.17,0.176,209
2375,10.38,5.88,1.56,0.751,407
2376,8.99,1.22,1.14,1.704,799
2377,8.48,-0.06,1.06,0.713,441
2378,9.34,-0.33,0.94,0.268,238
2379,7.53,4.86,0.88,0.143,65
2380,8.1,9.19,1.13,0.354,292
2381,8.11,3.63,0.96,1.109,668
2382,8.49,5.62,1.16,0.18,55
2383,7.83,6.13,0.98,0.918,575
2384,9.75,3.56,1.61,0.539,420
2385,4.76,18.97,0.64,0.018,15
2386,7.32,3.55,0.92,0.11,55
2387,6.18,4.55,0.58,-0.1,226
2388,5.88,6.98,0.79,1.133,671
2389,8.44,5.06,1.09,0.102,2
2390,10.07,4.33,2.06,1.63,738
2391,8.08,-1.59,1.15,1.127,518
2392,7.18,13.44,0.83,0.275,80
2393,7.17,5.08,0.79,1.352,735
2394,7.48,3.21,0.83,1.606,738
2395,8.1,15.9,1.03,0.528,420
2396,8.15,15.36,1.58,0.653,447
2397,4.36,23.35,0.52,-0.064,272
2398,4.53,18.95,4.35,0.147,47
2399,8.81,5.07,1.18,0.587,366
2400,9.7,1.43,1.65,0.552,354
2401,9.38,7.95,1.06,0.456,143
2402,7.88,3.2,0.83,0.037,9
2403,6.89,4.12,0.76,1.267,609
2404,6.99,3.96,0.91,1.405,685
2405,10.99,10.63,2.39,0.682,685
2406,8.7,2.01,1.88,0.116,2
2407,8.88,-0.1,1.11,0.14,2
2408,9.0,11.3,1.26,0.569,420
2409,7.07,9.86,0.86,0.071,2
2410,5.59,8.29,0.68,1.163,698
2411,7.25,12.27,0.88,0.906,609
2412,12.41,-0.72,3.07,-0.279,145
2413,8.28,7.6,1.03,0.281,55
2414,9.67,2.59,1.27,0.418,80
2415,7.44,5.23,1.08,0.955,507
2416,7.58,-0.17,0.86,-0.034,238
2417,9.64,13.68,1.38,0.817,651
2418,4.74,9.2,1.06,-0.098,252
2419,9.37,6.86,1.35,0.521,398
2420,7.48,5.28,1.0,1.104,507
2421,7.9,5.41,0.88,0.964,609
2422,8.11,6.4,1.47,0.88,445
2423,7.99,9.3,1.0,0.325,292
2424,9.6,15.71,1.45,0.759,543
2425,7.22,10.47,0.81,0.535,366
2426,9.52,6.93,1.25,0.651,500
2427,7.88,3.14,1.02,0.126,39
2428,9.98,1.79,1.67,0.219,39
2429,9.65,6.91,2.68,1.609,771
2430,6.87,3.59,0.83,1.638,745
2431,8.89,4.85,1.4,0.397,39
2432,8.82,6.95,1.27,0.383,317
2433,8.84,2.31,1.44,1.05,668
2434,8.73,4.42,1.25,0.473,366
2435,8.48,1.79,1.15,1.44,685
2436,9.08,2.61,1.53,1.296,658
2437,8.71,0.27,0.79,0.501,182
2438,8.33,2.76,0.84,0.39,205
2439,7.52,1.9,0.9,1.211,698
2440,7.07,5.22,0.91,1.245,658
2441,9.08,5.02,1.41,0.343,317
2442,10.34,6.78,1.77,1.248,856
2443,10.5,0.67,3.03,0.554,420
2444,7.92,3.77,1.03,1.083,685
2445,8.27,13.78,1.06,0.58,465
2446,8.54,21.4,1.86,0.84,651
2447,9.15,3.18,1.39,0.131,22
2448,8.3,4.79,1.04,0.058,39
2449,9.69,2.05,1.68,1.393,689
2450,6.94,1.76,0.81,1.522,685
2451,9.74,6.25,1.53,0.486,398
2452,6.74,9.62,0.76,0.191,87
2453,9.65,38.85,1.1,1.367,771
2454,8.71,2.25,1.23,1.234,609
2455,8.69,10.38,1.08,0.537,424
2456,7.1,11.36,1.01,0.377,317
2457,8.51,2.31,1.1,1.372,738
2458,7.32,13.81,1.01,0.391,348
2459,9.85,-4.26,4.43,1.5,827
2460,9.23,8.69,1.38,0.52,420
2461,8.57,4.84,1.03,1.069,609
2462,5.69,12.36,0.8,-0.014,257
2463,10.14,3.49,1.73,0.44,317
2464,8.11,4.05,0.97,0.958,633
2465,6.69,4.96,0.83,-0.006,31
2466,10.27,98.74,3.37,1.52,794
2467,8.97,-0.12,1.2,1.314,719
2468,9.11,2.94,1.03,1.092,633
2469,9.36,19.65,1.47,0.928,709
2470,6.94,2.61,0.82,1.101,609
2471,8.91,5.9,1.19,0.905,591
2472,8.38,5.04,1.05,0.352,80
2473,6.79,6.01,0.81,1.54,738
2474,8.49,5.49,1.09,1.107,677
2475,8.4,4.34,1.08,0.097,143
2476,8.66,17.8,1.36,0.65,507
2477,8.29,1.89,1.03,0.284,39
2478,6.68,3.64,0.86,0.084,45
2479,9.26,5.57,1.19,0.45,317
2480,8.09,6.63,1.13,0.749,555
2481,5.38,12.69,0.72,1.069,633
2482,9.27,1.01,1.39,0.504,366
2483,9.24,2.36,1.23,0.983,511
2484,9.55,1.45,1.53,1.272,758
2485,6.72,8.31,0.9,1.176,614
2486,6.84,7.32,0.91,0.921,577
2487,8.9,10.45,1.31,0.735,530
2488,6.9,4.47,0.93,0.364,292
2489,8.88,12.16,1.92,0.679,509
2490,9.25,-0.75,1.47,1.337,738
2491,5.07,21.52,0.49,0.038,15
2492,8.5,2.39,1.13,0.047,143
2493,8.51,10.6,1.04,0.623,486
2494,6.91,3.56,0.78,1.249,698
2495,9.76,2.23,1.06,0.244,238
2496,6.26,6.95,1.01,0.965,571
2497,9.63,3.44,1.77,0.399,128
2498,8.7,3.96,1.22,0.997,609
2499,8.76,13.63,1.27,0.666,530
2500,7.94,3.83,1.26,-0.017,2
2501,8.94,1.91,1.2,0.366,310
2502,10.71,1.62,2.07,0.444,409
2503,9.04,3.46,1.24,1.129,609
2504,8.22,5.44,1.0,0.211,39
2505,8.61,3.02,0.79,1.024,633
2506,8.23,5.53,1.06,0.445,317
2507,9.89,1.63,1.72,0.895,609
2508,6.9,8.73,0.76,0.508,392
2509,11.65,4.21,2.12,1.228,838
2510,7.58,11.3,0.8,0.384,317
2511,4.17,0.79,0.52,0.13,175
2512,10.08,5.34,1.79,0.548,390
2513,10.27,9.52,1.63,0.78,609
2514,9.44,11.64,1.33,0.76,514
2515,8.38,7.7,1.15,0.501,366
2516,8.42,4.35,1.01,0.453,317
2517,10.94,29.26,2.16,1.311,771
2518,8.56,-2.25,1.22,1.477,719
2519,9.08,0.71,1.22,0.152,2
2520,7.64,3.42,0.87,1.473,745
2521,8.54,4.32,1.17,1.129,507
2522,9.39,7.76,1.44,0.466,445
2523,9.11,0.63,1.18,1.168,668
2524,5.93,8.68,0.71,1.037,633
2525,7.36,1.52,0.97,1.301,609
2526,9.29,1.71,1.34,0.012,238
2527,9.27,5.71,1.0,1.03,677
2528,7.47,3.52,0.84,0.285,122
2529,9.11,3.8,0.85,1.376,719
2530,10.23,3.89,1.76,0.642,479
2531,9.49,2.88,1.46,1.269,609
2532,9.61,7.95,1.51,0.516,390
2533,8.47,1.86,1.11,1.61,738
2534,8.14,12.44,0.92,0.509,366
2535,10.21,7.12,1.93,0.483,407
2536,8.88,6.96,1.38,0.491,416
2537,8.89,2.58,1.17,1.544,758
2538,8.18,5.14,1.08,1.163,609
2539,7.81,12.29,0.97,0.521,366
2540,8.55,2.18,1.38,1.179,668
2541,6.41,6.18,0.54,-0.007,16
2542,6.11,6.65,0.52,0.265,105
2543,9.15,0.17,1.13,1.47,714
2544,9.1,8.02,1.74,0.651,500
2545,8.76,9.34,1.3,0.606,420
2546,9.6,0.62,1.31,-0.105,251
2547,8.48,-0.72,2.4,0.196,39
2548,9.89,-0.24,2.56,0.411,333
2549,9.58,0.49,1.34,1.021,609
2550,7.88,0.58,1.78,0.83,521
2551,10.02,17.86,1.63,1.062,507
2552,9.39,7.85,1.46,0.389,420
2553,7.18,7.93,0.87,0.338,55
2554,7.21,6.34,3.4,0.0,30
2555,7.76,16.68,1.62,0.556,420
2556,11.11,3.47,1.93,0.446,197
2557,7.27,13.56,0.92,0.609,465
2558,7.76,2.97,0.93,0.0,27
2559,7.89,3.62,0.81,-0.007,253
2560,8.73,3.2,1.24,1.125,609
2561,7.29,2.29,1.61,1.462,713
2562,7.86,7.55,0.97,0.363,310
2563,8.52,3.32,1.2,1.147,609
2564,8.43,1.93,1.16,0.94,549
2565,8.73,4.74,1.1,0.327,292
2566,11.42,2.7,2.63,0.635,320
2567,8.26,-0.55,2.41,1.072,507
2568,7.86,7.02,0.92,0.315,55
2569,10.34,-0.55,2.41,0.186,507
2570,8.4,11.07,1.06,0.446,366
2571,9.04,3.33,1.36,1.518,713
2572,5.55,6.56,0.71,1.262,668
2573,8.44,0.55,0.8,1.404,719
2574,6.41,27.63,1.06,0.617,424
2575,8.99,8.44,0.95,0.524,420
2576,7.42,5.97,0.83,-0.016,15
2577,8.06,11.52,0.86,0.487,420
2578,8.71,0.79,1.1,1.69,758
2579,7.5,2.7,1.0,1.614,738
2580,9.1,2.3,1.25,-0.02,2
2581,10.36,6.34,1.6,0.68,445
2582,9.0,3.57,1.21,1.256,685
2583,8.32,2.74,1.06,1.004,507
2584,8.23,10.0,1.05,0.465,382
2585,8.13,3.3,1.13,1.381,719
2586,10.42,3.34,1.14,0.397,292
2587,10.11,8.08,1.61,0.705,445
2588,7.47,5.53,1.04,0.94,503
2589,8.58,10.67,1.11,0.512,366
2590,9.49,1.81,1.26,0.502,238
2591,11.25,8.75,5.13,0.639,445
2592,9.46,3.51,1.44,0.148,2
2593,7.98,2.88,0.86,1.068,614
2594,8.31,4.67,1.06,0.971,677
2595,7.66,4.1,0.85,1.298,735
2596,8.01,1.79,0.95,1.525,811
2597,8.9,0.7,1.37,1.25,685
2598,10.39,-0.42,1.92,0.412,344
2599,7.64,8.48,1.09,0.426,317
2600,9.29,2.19,1.37,1.245,685
2601,8.43,3.4,1.07,0.026,2
2602,8.43,3.95,1.22,0.991,609
2603,9.87,8.07,1.72,0.623,473
2604,9.31,7.41,1.1,0.693,445
2605,7.78,6.5,0.87,0.4,317
